keyword,cluster,avg_monthly_searches_au,competition,competition_index,top_of_page_bid_low_aud,top_of_page_bid_high_aud,intent,bush_gums_relevance,affiliate_intent,browse_potential,differentiation,priority_score,notes
naturehike,D_tents,2900,HIGH,0,0.35,1.81,navigational,100,85,60,60,87.0,Single largest relevant AU demand signal found in this study
naturehike cloud up 1,D_tents,170,HIGH,0,0.31,0.97,commercial,95,95,45,80,80.6,Maps to Cloud Up Pro 1P in the Value kit
naturehike 2 person tent,D_tents,140,HIGH,0,0.17,1.06,commercial,95,90,50,75,78.8,Close variant of the Cloud Up 2 query set
aliexpress naturehike,B_value,30,HIGH,0,0.37,1.89,transactional,100,95,45,90,77.8,Exactly the Bush Gums buying path; almost no content exists
cloud up 2,D_tents,90,HIGH,0,0.42,1.17,navigational,95,95,40,75,77.4,Model shorthand
naturehike tent,D_tents,1300,HIGH,100,0.25,1.04,commercial,100,90,60,70,77.0,Category head term for the brand Bush Gums actually links to
naturehike cloud up 2,D_tents,880,HIGH,100,0.35,1.22,commercial,95,95,50,80,76.3,Highest model-level demand; Bush Gums stocks the Pro 2P variant
naturehike australia,D_tents,390,HIGH,100,0.34,1.56,navigational,100,90,45,85,74.0,Merged with 'naturehike au'; AU buyers actively looking for local supply
naturehike sleeping mat,F_mats,210,HIGH,100,0.27,0.81,commercial,100,95,45,85,73.0,Direct catalogue match via the TuYe R3.5
naturehike cloud up,D_tents,140,HIGH,100,0.38,0.93,commercial,100,95,50,80,71.5,Series head term
hiking sleeping mat,F_mats,480,HIGH,100,0.25,1.43,commercial,95,90,50,65,71.1,Largest non-brand sleep-system term in the study
naturehike backpack,G_packs,110,HIGH,100,0.19,0.63,commercial,100,95,45,85,71.0,Direct catalogue match
cheap hiking backpack,G_packs,90,HIGH,100,0.29,0.87,commercial,100,90,65,75,69.9,Covers both the Rock 60+5L and the BISINNA 25+10L
is naturehike good,J_modifiers,10,LOW,30,,,informational,100,70,70,95,69.8,Competition index 30; the exact trust question Bush Gums exists to answer
